# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	112144
#@/user_id	MacBook
a 	啊	c=165 d=0.114078 t=112144
a a a a 	啊啊啊啊	c=1 d=3.23954e-159 t=112144
a a a a a 	啊啊啊啊啊	c=1 d=2.93301e-159 t=112144
a bao zhi gong 	阿保之功	c=0 d=3.4173e-105 t=112144
a bao zhi gong yi ou 	阿保之功遺鷗	c=1 d=3.43443e-104 t=112144
a bo 	阿伯	c=0 d=2.29568e-160 t=112144
a deng 	阿燈	c=1 d=8.56513e-208 t=112144
a fan da 	阿凡達	c=1 d=0.26054 t=112144
a fu 	阿福	c=4 d=3.39404e-200 t=112144
a ha 	啊哈	c=0 d=5.99193e-94 t=112144
a ha ha ha ha 	啊哈哈哈哈	c=1 d=3.70404e-52 t=112144
a ha ha ha ha a ha ha 	啊哈哈哈哈啊哈哈	c=1 d=3.66719e-52 t=112144
a ha ha ha ha ha 	啊哈哈哈哈哈	c=2 d=1.31242e-92 t=112144
a ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha 	啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	c=1 d=7.06684e-93 t=112144
a hei hua sha shou sha sha sha hua shi ai jiang han da kang sa ha ke jian duan sha jun kuan du hua shi ai jie kou hua shi ai duan jie ka dao shan jian kai sa dan he ku de shen an ha sa de jing kou da shu ju ku 	啊黑花殺手殺殺殺花是愛江漢大康薩哈可間段殺菌寬度花是愛接口花是愛斷接卡刀扇肩鎧撒旦何苦得身安哈薩德井口大數據庫	c=1 d=7.99552e-75 t=112144
a hua tian 	阿華田	c=1 d=3.15101e-32 t=112144
a jin sa 	阿金薩	c=0 d=7.99552e-76 t=112144
a la 	阿拉	c=1 d=1.85503e-181 t=112144
a la bo 	阿拉伯	c=4 d=1.06088e-180 t=112144
a la bo yu 	阿拉伯語	c=4 d=8.73873e-181 t=112144
a niu 	阿牛	c=1 d=7.51484e-169 t=112144
a sen du ji an kuo san lian jie 	啊森度吉安擴散連接	c=1 d=1.28639e-51 t=112144
a tu 	阿涂	c=8 d=3.16088e-10 t=112144
a xiu luo 	阿修罗	c=1 d=1.26336e-15 t=112144
ai 	唉	c=2 d=2.5248e-43 t=112144
ai 	愛	c=8 d=2.04688e-34 t=112144
ai 	矮	c=2 d=1.83191e-229 t=112144
ai 	艾	c=2 d=1.65644e-143 t=112144
ai bu 	愛不	c=1 d=8.04844e-35 t=112144
ai chi 	愛喫	c=0 d=6.12255e-83 t=112144
ai chi la 	愛喫辣	c=1 d=6.15323e-82 t=112144
ai de kai shi 	愛的開始	c=0 d=1.29284e-52 t=112144
ai ni 	愛你	c=1 d=6.62254e-35 t=112144
ai ping lun 	愛評論	c=1 d=1.84295e-163 t=112144
ai ru 	愛如	c=1 d=7.24621e-35 t=112144
ai shang 	愛上	c=1 d=6.33113e-35 t=112144
ai wo 	愛我	c=1 d=7.81057e-35 t=112144
ai wo bie zou 	愛我別走	c=1 d=8.72173e-39 t=112144
ai xin 	愛心	c=2 d=8.59379e-212 t=112144
ai xing 	爱行	c=1 d=4.36248e-212 t=112144
an 	安	c=1 d=2.54472e-106 t=112144
an 	按	c=10 d=2.25251e-24 t=112144
an 	案	c=3 d=8.75325e-52 t=112144
an an 	安安	c=0 d=3.66719e-53 t=112144
an an ha ha ha ha 	安安哈哈哈哈	c=1 d=3.68557e-52 t=112144
an duo 	安多	c=1 d=2.04162e-44 t=112144
an duo zhuo 	安多卓	c=7 d=1.59359e-41 t=112144
an e 	媕娿	c=1 d=1.47118e-130 t=112144
an guo 	安国	c=0 d=1.8576e-22 t=112144
an ji kui lin 	氨基喹啉	c=0 d=1.29932e-52 t=112144
an jian 	按鍵	c=1 d=6.32431e-228 t=112144
an li 	案例	c=1 d=1.26165e-146 t=112144
an mo 	按摩	c=3 d=3.15486e-17 t=112144
an na ban na 	安那般那	c=0 d=1.16536e-66 t=112144
an niu 	按扭	c=202 d=0.138123 t=112144
an niu de 	按扭的	c=1 d=2.07023e-90 t=112144
an niu niu 	按扭牛	c=1 d=2.30501e-236 t=112144
an pai 	安排	c=25 d=1.22357e-10 t=112144
an pai shang 	安排上	c=1 d=2.09631e-149 t=112144
an quan 	安全	c=18 d=1.35142e-43 t=112144
an wei 	安慰	c=2 d=3.69322e-48 t=112144
an wei zi ji 	安慰自己	c=1 d=3.71174e-47 t=112144
an zao 	按早	c=2 d=8.34087e-190 t=112144
an zhao 	按照	c=25 d=5.27252e-12 t=112144
an zhu 	按住	c=2 d=5.52173e-118 t=112144
an zhuan 	暗轉	c=1 d=4.17291e-160 t=112144
an zhuang 	安裝	c=27 d=1 t=112144
an zhuo 	安卓	c=43 d=0.198891 t=112144
ang 	昂	c=0 d=1.14085e-110 t=112144
ang le 	昂了	c=1 d=5.65356e-115 t=112144
ao 	嗷	c=1 d=2.66527e-33 t=112144
ao 	澳	c=4 d=1.10383e-162 t=112144
ao men 	澳門	c=1 d=1.01834e-96 t=112144
ao te 	奧特	c=1 d=1.07574e-241 t=112144
ao ti 	凹體	c=0 d=6.25854e-18 t=112144
ao ye 	熬夜	c=1 d=1.21984e-220 t=112144
ba 	八	c=5 d=8.6933e-30 t=112144
ba 	吧	c=308 d=0.000337928 t=112144
ba 	巴	c=2 d=1.40396e-168 t=112144
ba 	把	c=152 d=0.00410873 t=112144
ba dian zhong 	八點鐘	c=1 d=4.17732e-143 t=112144
ba ni 	把你	c=3 d=5.7864e-06 t=112144
ba ping 	八平	c=0 d=2.15229e-19 t=112144
ba wo 	把握	c=2 d=1.86368e-30 t=112144
ba wo men 	把我們	c=1 d=1.035e-228 t=112144
ba yuan ben 	吧原本	c=1 d=1.11793e-223 t=112144
bai 	拜	c=1 d=1.92574e-33 t=112144
bai 	擺	c=2 d=6.90594e-28 t=112144
bai 	白	c=3 d=1.02952e-195 t=112144
bai bai 	拜拜	c=1 d=0.67032 t=112144
bai du 	百度	c=1 d=6.55378e-118 t=112144
bai fen 	百分	c=1 d=5.38568e-44 t=112144
bai fen bi 	百分比	c=3 d=5.78458e-151 t=112144
bai jiu 	白酒	c=1 d=4.32888e-33 t=112144
bai mi yi shu 	百密一疏	c=1 d=0.00027192 t=112144
bai ming dan 	白名单	c=55 d=4.40653e-05 t=112144
bai ming le 	擺明了	c=1 d=6.74555e-75 t=112144
bai nian 	拜年	c=1 d=1.32012e-32 t=112144
bai ping 	擺平	c=1 d=1.00997e-234 t=112144
bai qie ji 	白切雞	c=1 d=2.55296e-144 t=112144
bai tai 	白苔	c=0 d=7.34655e-227 t=112144
bai tian 	白天	c=1 d=3.58262e-101 t=112144
