# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.10.0
#@/tick	116448
#@/user_id	desktop
a 	啊	c=174 d=2.53214 t=116448
a a a a 	啊啊啊啊	c=1 d=3.23954e-159 t=116448
a a a a a 	啊啊啊啊啊	c=1 d=2.93301e-159 t=116448
a bao zhi gong 	阿保之功	c=0 d=3.4173e-105 t=116448
a bao zhi gong yi ou 	阿保之功遺鷗	c=1 d=3.43443e-104 t=116448
a bo 	阿伯	c=0 d=2.29568e-160 t=116448
a deng 	阿燈	c=1 d=8.56513e-208 t=116448
a die 	阿爹	c=2 d=1.19621 t=116448
a fan da 	阿凡達	c=1 d=0.26054 t=116448
a fu 	阿福	c=4 d=3.39404e-200 t=116448
a gui 	阿龟	c=1 d=0.410656 t=116448
a ha 	啊哈	c=0 d=5.99193e-94 t=116448
a ha ha ha ha 	啊哈哈哈哈	c=1 d=3.70404e-52 t=116448
a ha ha ha ha a ha ha 	啊哈哈哈哈啊哈哈	c=1 d=3.66719e-52 t=116448
a ha ha ha ha ha 	啊哈哈哈哈哈	c=2 d=1.31242e-92 t=116448
a ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha 	啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	c=1 d=7.06684e-93 t=116448
a hei hua sha shou sha sha sha hua shi ai jiang han da kang sa ha ke jian duan sha jun kuan du hua shi ai jie kou hua shi ai duan jie ka dao shan jian kai sa dan he ku de shen an ha sa de jing kou da shu ju ku 	啊黑花殺手殺殺殺花是愛江漢大康薩哈可間段殺菌寬度花是愛接口花是愛斷接卡刀扇肩鎧撒旦何苦得身安哈薩德井口大數據庫	c=1 d=7.99552e-75 t=116448
a hua tian 	阿華田	c=1 d=3.15101e-32 t=116448
a jin sa 	阿金薩	c=0 d=7.99552e-76 t=116448
a la 	阿拉	c=1 d=1.85503e-181 t=116448
a la bo 	阿拉伯	c=4 d=1.06088e-180 t=116448
a la bo yu 	阿拉伯語	c=4 d=8.73873e-181 t=116448
a niu 	阿牛	c=1 d=7.51484e-169 t=116448
a sen du ji an kuo san lian jie 	啊森度吉安擴散連接	c=1 d=1.28639e-51 t=116448
a tu 	阿涂	c=8 d=3.16088e-10 t=116448
a xiu luo 	阿修罗	c=1 d=1.26336e-15 t=116448
ai 	唉	c=2 d=2.5248e-43 t=116448
ai 	愛	c=8 d=2.04688e-34 t=116448
ai 	矮	c=2 d=1.83191e-229 t=116448
ai 	艾	c=2 d=1.65644e-143 t=116448
ai bu 	愛不	c=1 d=8.04844e-35 t=116448
ai chi 	愛喫	c=0 d=6.12255e-83 t=116448
ai chi la 	愛喫辣	c=1 d=6.15323e-82 t=116448
ai de kai shi 	愛的開始	c=0 d=1.29284e-52 t=116448
ai ni 	愛你	c=1 d=6.62254e-35 t=116448
ai ping lun 	愛評論	c=1 d=1.84295e-163 t=116448
ai qing 	愛情	c=2 d=1.92161 t=116448
ai ru 	愛如	c=1 d=7.24621e-35 t=116448
ai shang 	愛上	c=1 d=6.33113e-35 t=116448
ai wo 	愛我	c=1 d=7.81057e-35 t=116448
ai wo bie zou 	愛我別走	c=1 d=8.72173e-39 t=116448
ai xin 	愛心	c=2 d=8.59379e-212 t=116448
ai xing 	爱行	c=1 d=4.36248e-212 t=116448
an 	安	c=1 d=2.54472e-106 t=116448
an 	按	c=10 d=2.25251e-24 t=116448
